ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
konk1269,Konkomba,Africa,9.82224,0.2783,konk1269,xon,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271,atla1278,Atlantic-Congo,konk1269,Konkomba,language,not endangered
koum1238,Koumongou,Africa,,,koum1238,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/ngan1299,atla1278,Atlantic-Congo,ngan1299,Ngangam,dialect,
moti1240,Motiem,Africa,,,moti1240,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/ngan1299,atla1278,Atlantic-Congo,ngan1299,Ngangam,dialect,
lina1244,Linafiel,Africa,,,lina1244,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/konk1269,atla1278,Atlantic-Congo,konk1269,Konkomba,dialect,
ligb1243,Ligbeln,Africa,,,ligb1243,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/konk1269,atla1278,Atlantic-Congo,konk1269,Konkomba,dialect,
lich1242,Lichabool-Nalong,Africa,,,lich1242,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/konk1269,atla1278,Atlantic-Congo,konk1269,Konkomba,dialect,
liko1247,Likoonli,Africa,,,liko1247,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/konk1269,atla1278,Atlantic-Congo,konk1269,Konkomba,dialect,
limo1247,Limonkpel,Africa,,,limo1247,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/gurm1248/gurm1249/gurm1250/konk1271/konk1269,atla1278,Atlantic-Congo,konk1269,Konkomba,dialect,
nucl1748,Nuclear Oti-Volta Occidental,,,,nucl1748,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461,atla1278,Atlantic-Congo,,,family,
notr1240,Notre,Africa,10.7025,1.27435,notr1240,bly,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461,atla1278,Atlantic-Congo,notr1240,Notre,language,threatened
nort3234,Northwest Oti-Volta,,,,nort3234,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748,atla1278,Atlantic-Congo,,,family,
sout3205,Southeast Western Oti-Volta,,,,sout3205,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748,atla1278,Atlantic-Congo,,,family,
moss1237,Mossi-Farefare,,,,moss1237,,atla1278/volt1241/nort3149/gura1261/cent2243/nort2777/bwam1248/otiv1239/nucl1743/gurm1247/west2461/nucl1748/nort3234,atla1278,Atlantic-Congo,,,family,
